epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,256.288,0.16483,0.17988,0.87784,0.99593,1,0.995,0.98219,0.14721,0.15169,0.8979,0.000515,0.000515,0.000515
47,260.396,0.152,0.17096,0.87134,0.99595,1,0.995,0.995,0.12431,0.14285,0.88699,0.000482,0.000482,0.000482
48,265.652,0.17141,0.1777,0.89791,0.99593,1,0.995,0.995,0.11907,0.17293,0.88769,0.000449,0.000449,0.000449
49,269.606,0.16338,0.16916,0.8857,0.99593,1,0.995,0.995,0.11947,0.14224,0.88738,0.000416,0.000416,0.000416
50,273.93,0.1537,0.16668,0.89458,0.99593,1,0.995,0.995,0.12161,0.15827,0.89405,0.000383,0.000383,0.000383
51,309.544,0.1589,0.25127,0.85481,0.99582,1,0.995,0.995,0.1654,0.13917,0.91885,0.00035,0.00035,0.00035
52,322.991,0.13464,0.14683,0.84181,0.99578,1,0.995,0.995,0.13083,0.14068,0.87845,0.000317,0.000317,0.000317
53,332.382,0.12767,0.14022,0.81186,0.99578,1,0.995,0.995,0.11494,0.12279,0.87382,0.000284,0.000284,0.000284
54,336.84,0.12743,0.14727,0.81011,0.99586,1,0.995,0.995,0.12608,0.13072,0.86807,0.000251,0.000251,0.000251
55,341.532,0.1315,0.14906,0.88971,0.99592,1,0.995,0.995,0.11297,0.11205,0.86839,0.000218,0.000218,0.000218
56,346.999,0.13001,0.14068,0.82689,0.99594,1,0.995,0.995,0.10947,0.10658,0.86369,0.000185,0.000185,0.000185
57,351.222,0.12028,0.13977,0.82585,0.99598,1,0.995,0.995,0.11144,0.12028,0.86662,0.000152,0.000152,0.000152
58,355.921,0.11411,0.13101,0.81947,0.99594,1,0.995,0.995,0.10225,0.12369,0.86361,0.000119,0.000119,0.000119
59,360.28,0.10069,0.12337,0.81233,0.99596,1,0.995,0.995,0.10506,0.12689,0.86464,8.6e-05,8.6e-05,8.6e-05
60,364.661,0.10416,0.12944,0.85416,0.99597,1,0.995,0.995,0.09478,0.10811,0.86285,5.3e-05,5.3e-05,5.3e-05
